,0
b8321ee8-d90a-4ec2-a13d-59df797e5db1,Stroma
477d1660-c2eb-45af-98bd-0387f6652745,Stroma
c29d0847-d52e-49ec-9deb-90bb57560363,Stroma
aaf70bd4-915f-4cb9-bf4c-808bb702afd4,Stroma
9c135065-9dc5-4612-a553-d42ef17991d9,Epi
ce008278-e973-4e1e-815c-a33285e4a8cd,Endothelia
227cef6e-40e0-40cc-9980-81d88c4ffa35,CD8_T
35d979e3-dea6-4242-b2b7-c9b097da499f,Myeloid
6b441648-d840-41d2-baea-adb09b901520,Treg
4be83c96-03b7-4d46-9d48-291a01da9380,Epi
5a96072e-a3e6-43b2-b82d-b62f57b926aa,Epi
48ed3088-d9df-4043-b558-85d27bc8805c,Epi
ea809637-5364-4319-ac30-c190447fbbbc,Epi
3436eafb-8c09-44ea-b066-e9d25533206a,Epi
7b883613-8488-406d-9489-d8fc659b4fcf,Epi
e616e637-f6e2-49c5-99ad-4a460829f4db,Epi
383fd769-9860-4c4f-801e-701f02cd7040,Epi
98edc099-7f58-4438-9f06-f5394473c5b2,Epi
3d6edb5e-6cce-4a9f-96ad-b1700f922692,Epi
29710760-aace-40d4-9259-99e9a9f41841,Epi
64a41699-9528-47ec-86a9-f543224a8bdb,Epi
6bf5124d-0200-4a01-84a3-af5ecb0768b2,Epi
cbbe6955-8be5-431e-b393-e040b29fde28,Epi
90ba8adb-3413-4f35-a70e-368bf2354f53,Epi
fae124e9-feb1-4443-aa48-d74b1ee2a914,Epi
d9c0098c-23a0-4ed9-ab4e-77a18a8d7d67,Epi
0d5d38fd-b099-40cb-81fc-dc044f374ab1,Epi
5bc68891-3f71-40b9-832b-733522c4c3e4,Epi
91177d59-8b39-4b11-8693-b4974994591a,Epi
a1905ca7-2214-4bf8-84c6-feb8a1e94fc2,Epi
71619481-8d0e-490a-9d1e-71f241044247,Treg
6059a47b-bd45-46f7-ab2c-70951c35fed1,CD4_T
0f053529-0062-461d-9af2-b5ccb2382c42,Epi
486f4bb4-08c5-499e-8e5b-5b11928c0921,Epi
942ecc3d-104a-437f-a244-1995580a5ca9,Treg
8162ff3c-400f-49bd-878d-648ef79d03df,Epi
6b1a1be9-5e1d-4e7b-ac10-0f577eea933d,Epi
13a1ef42-7629-4af3-981b-3437a2a6c769,Epi
2eaea704-1e9c-451d-aacb-7166d5bd2d80,CD8_T
c7aff273-4f1b-4abb-9438-de911a4bc909,CD8_T
7bec996d-4de8-4220-8abe-40471f128ef6,Epi
51c65e69-c0f1-44bc-9053-8511bb5d39af,Epi
d6a5046e-6bb9-4762-b984-9f5099660b56,Epi
808c4d27-0262-4233-83dd-28abf988570a,Epi
cacace58-329e-4f63-9b8d-c60f62ac66f5,Epi
a6d45453-d32f-4fd5-ba1b-4f594fc873f2,Epi
370f8d20-ec5f-4933-8428-b361427a3f54,Endothelia
cc93c233-9bbf-4e4d-8fbe-6f91e96d06a8,Epi
8ac79cfa-8c23-4d78-9011-e31e3c4f2069,Epi
da9079b4-afa1-46c5-8422-987159dd6eaa,Epi
43dfbd1d-2d2e-46eb-a88a-36b9160f0227,Epi
ed2b0766-4e5a-44f1-af81-21802ba406a8,Epi
dc6d0cd2-69c0-4819-ade2-146ba83f40a8,Epi
2f582169-0301-4bb1-ac35-bb87a6db7c6f,Epi
8eab232a-41ec-4f0c-bc80-f4e5d70601d5,Epi
1934c5ef-c3be-4dad-9fcb-5cfa0f3f4e17,Epi
0e2ec9fe-1954-4f7b-8c40-2ca85af452d8,Epi
229b0c6b-0aa9-42c4-8908-f4c5fe88f0df,Epi
6f7666a4-d81f-4fc0-b215-00a889644920,Myeloid
4e5c68d0-e8d9-4ed0-8528-816196260838,Epi
958dd3b5-031b-4709-92b8-6b331be22563,Myeloid
0515a18a-e29a-4f7d-bcd5-ee51e0e80c66,Myeloid
bb6eca5e-3d01-476e-84a5-d69a670345b6,Epi
71b5331f-6251-4f4c-9358-1411805d8fce,Epi
e1719cdb-6ac3-43ca-b68f-859cd2c6ba30,Myeloid
c5235120-eaf3-4bcb-8d70-a2e4de2b4cec,Epi
6bcf2608-2b32-4150-9d55-6088af1621d5,Epi
b33b44bd-cefe-49b6-b4be-a1ed4cdc7784,Epi
aedea2e2-06bb-47b3-92ea-387802901984,CD8_T
91491989-ecff-48d8-b8c1-1a71551bd9af,Epi
cae3216d-0123-4969-b427-1e0bff3ca94f,Epi
210c97f3-7809-4a1c-b1d4-9178a2b14316,Epi
969b6e5f-ac21-4f32-bdb9-5ee36ed06af7,Epi
e159bb76-46e4-461c-92b5-9d9e439fedea,CD8_T
7f40fe0d-a695-4c2d-adc8-8d2e87b2c08b,Epi
2f76d127-1c52-491e-996b-8bbd7f48aacb,Epi
a481bbc9-bfb6-4613-9fcd-47a1d0219afd,Epi
35fb7124-4c43-4424-b85c-98884cbd4ec9,CD8_T
96fa5064-d8b7-40eb-af48-f25126cb735f,Epi
02352f32-bf12-4e52-bfbb-5c496356802c,Epi
3d94bf61-f718-40ad-a97d-de923a600b1e,Treg
adb7d6d6-575f-4373-be0d-29d158414764,Epi
deee4363-5fa4-4853-80c0-6b9760bbcdb5,Epi
0abf7e01-7554-41f0-9d1f-5ed907c0a376,Epi
9eb31210-e825-460c-8107-306e8c93d8cf,CD8_T
b042aaee-9f68-4fdb-8bc5-08cd9db83214,Epi
036b27bf-77b7-4520-8e13-e526a4282e77,Epi
911916d2-1c38-40dd-b652-a1aa097597e1,Epi
17e364af-06ab-4b3f-9544-b9fabd0e608b,Epi
cbfb6267-02aa-4354-8bc0-d5333f81d8de,Myeloid
b2a8ad07-1bdb-4ee0-bfec-82023a8d465e,Epi
6a1f1db7-d82c-4389-a3e8-2f10e9ed9805,Epi
c732ffde-eede-42fe-8274-991134a3010f,Epi
70ff6210-334c-4b40-8a02-ec9da942a104,Epi
912933cb-4b14-48c1-b18e-3d861992a7ff,Epi
0536a1b6-7909-48b2-b58d-434fac671f1c,Epi
e7ff81b2-ab40-4844-abc1-75ede1ffced2,Stroma
7b7cd688-312d-4737-a04e-556969c5a0f9,Epi
e1a143e2-7e1d-4d28-b729-b707d61204b4,Epi
e16c54f6-0862-4ea4-84cf-846a93d12315,Epi
ffcc127a-0d87-4026-8397-43ffee07b82d,Endothelia
f1b16c79-7576-4cf8-893b-ba9b8517d2be,Stroma
f5f9509f-e18b-4284-b51f-8aa01665b7d6,Endothelia
f1606f3d-58b7-49f8-abbe-ff37a806aa40,CD8_T
a8ed566b-58ac-4f45-aec2-8c27b4e0bcc7,Epi
6bd3fe82-4e1b-4341-ae94-3f865847eed2,CD4_T
7447ec2e-f754-430a-8ebd-a81b3d51fb99,CD4_T
9aa2decf-3cd3-4970-9f17-2b1d58c9e8c9,Epi
5f2468bc-4878-4fdb-85a5-54b77b9cf960,CD4_T
36b12cca-8df6-47fb-92f9-61d84309c365,Epi
15b71292-9b8f-404d-b7cb-4e3797dab232,Epi
abd0aa8f-53fd-429e-87e3-181158f6ecfa,Myeloid
773f5f19-a070-4eb9-b352-c7f95bfb8e32,Myeloid
06417bb0-2eb4-4d22-a738-472aff841a3a,CD8_T
88142c25-0319-4bf4-a1ee-5ed6c2dc4e3c,CD4_T
485351b1-9ec7-42ac-8607-b8aedc889791,CD8_T
dab84ead-6744-4907-a0b5-242e0a2da078,Epi
55975e6b-b64d-453f-8552-d9e1c2e66b1f,CD8_T
b5810c04-9c84-4b6f-81d1-c224cf828641,CD8_T
f0eae9e4-38f2-4712-92bf-a661462c79c7,CD8_T
8dd2d8c1-3784-4b9e-8fbf-4cf4f2f13da7,Myeloid
048d9a12-b934-4e76-a030-8b1be20eaa70,Myeloid
77648f70-dcfc-455a-81a4-0d190ab19b0a,Epi
303d6552-c65f-496e-ab74-8ff3c0e088a2,Epi
34d1953a-78cc-4689-a2aa-5201b61275ea,Epi
5b75ccd8-1320-4c51-9f1d-c6439fbd04fd,Endothelia
a96face8-40ae-4e6c-b946-d3555b0446e5,Epi
32f14a37-d814-4265-a526-e8e0b3b228da,Endothelia
9824b27d-1cb3-4f97-b304-24a74f4ec8f6,Endothelia
2d2528a0-cb2a-4523-a4df-d9487e20cb0b,Epi
689bb946-ac55-4eff-9d11-b16e11489c39,Stroma
90740f9d-8581-4354-a7c5-cf1904c5d77c,Epi
8d34ffeb-cd3b-42cc-b782-421d73264c17,Epi
34adbc18-fd09-49cc-a117-7deef1270819,Epi
aec95517-f45f-4e1a-962b-4f84eea9dd83,Epi
93db2c3a-db13-4144-9a64-8c520de90344,Myeloid
83b2f65f-ade9-419c-ac91-c330f29f059d,Epi
2c8917f6-a069-4f0d-a488-c375d4fea0d6,Epi
4c8fb716-6556-4292-aaf8-3e15240166db,CD8_T
adc2971b-399e-41e7-92a6-82bbebde2594,Epi
e155aa85-2a89-49dd-a7b1-e74f06288a32,CD8_T
4374638f-6cd4-498f-acae-c7334b47a4d8,Epi
c5e1649c-f3e9-40f0-a201-fe4e04875fe0,Epi
dda81e20-68b4-4bf2-8490-def03d234ac1,Epi
d174ce18-c5b9-4f94-aa0d-7fb4af8396b2,Epi
cb799293-c3b5-4f24-b61c-119213d60b10,Epi
354909f4-3539-448d-ba9b-66eaf64cc867,Epi
d976d9be-f878-4f7d-a4f8-9c3b637ccf4a,Epi
32eb3ed5-863d-4731-b8f1-aee7de78c51c,Epi
aa850685-7af5-4312-bde9-0566b8e42cde,Epi
211c6144-1143-4acf-a1b4-a5d176fe8feb,Epi
0036a871-6e64-4b10-9204-2c21954b28dc,Epi
1595c0b2-0310-4a29-b497-2394919b9e86,Epi
6690eb4a-e37e-4ffa-975b-6159b6e637fc,Epi
440ab4d2-aa5c-42fa-98c8-acbaa7b95cc5,Epi
13a2701e-979d-4a37-82fb-e8603c56b2fc,Epi
1b822751-01b1-4089-b7d1-7543fea38bd0,Epi
2e7e87d9-abc2-4957-a162-99550dd5f47d,Epi
91cc806f-8aa3-430a-9bdc-447d8e419c35,Epi
d4adc1a6-064b-43d4-a96d-3846f391a6fc,Epi
55da9ff4-b330-4e42-98ec-8876c9f6dd39,Epi
afcf4bd1-09b3-464f-bdbb-629a4bf6b7cc,Epi
8ecf3275-dd5c-47d6-adae-ecbecd2d7c33,Epi
4cf232ae-8f59-44dc-ae8b-1c28fc6737ba,Epi
f4831473-e0d0-4495-b685-7846184982b8,Epi
8354aa7c-aaa5-4023-8510-0fe4ab8eb58c,Epi
898e9087-8c3a-4a7f-ba20-73c3a32a1e39,Epi
c585b6ee-ec12-4bf7-9ad9-5b7361920438,Epi
99c100dc-0700-4709-9b29-3fd8aac6cc3a,Epi
837cd71c-78ca-4beb-ae8a-a0b85c4acf5b,Epi
b1d82e10-9936-4daf-a196-87f1772c2a3b,Epi
47a288b2-7b0a-422f-b86e-edb3bb4c7af5,Epi
834509d1-feeb-42f6-91bc-5d2dd8123572,Epi
30b32444-f308-436c-969d-575d2bb146d7,Epi
6587e228-8957-4a1a-b505-5bada5e17e35,Epi
f90853a4-ed7a-4a5d-895c-aacfb427e0f2,Epi
7c12593e-a567-4812-aca1-f8ccde6fbf78,Epi
d01dfaa3-378f-4d31-a889-421eea22ed56,Epi
e7321efa-179e-4a66-a008-5cdfb4f9626c,Epi
7c7ac972-4a41-41a2-b4a6-ca0f1d17eac2,Epi
f1554111-726e-4b0c-bd17-9b3d98bad3e3,Epi
c3f9028e-47b0-4cc0-b8ef-72978c421e54,Epi
1dfb3779-e896-4cb3-9824-e7c16fecf045,Epi
36ce05a3-1bc5-487a-a493-e2214f0f00b5,Epi
313fa741-2c7f-4ff3-a2f7-b25f3e7563f6,Epi
786639d6-e155-4924-90c6-d5d55ad2bf12,Epi
86d94753-6376-4a65-b351-5d8e2a2a537e,Epi
8133043d-68a7-47f6-8951-cedcfd72879d,Epi
a306cc13-c75d-428b-880f-f37d92e76f91,Epi
7bdb40a4-b9b5-4d99-b5c2-4a1ea8688587,Epi
2b10df6c-ea58-4d27-81e3-376842e810e6,Epi
5e1ff556-86e6-476f-b56d-e2a6080ba98c,Epi
49cb4c29-e749-4ab3-9546-1baa781291fe,Epi
5383a1eb-9c6b-4ecb-b4c7-bd2691e4921e,Epi
e224110d-24ea-41bc-8397-901053145038,Epi
45f79846-59d5-4a00-8a64-71181fc2f1d5,Epi
c8cf69dc-ccbc-4e9e-ab84-86448e657e07,Epi
210612ee-6efa-4766-8985-16c8a57716a3,Epi
41315f7d-5552-49a7-ae4a-820eea1e4b86,Epi
6d60d8af-6051-4524-853a-efe911251aa3,Epi
6954dbf2-2082-4779-972d-cb1c67fe3a60,Epi
536cf0d0-cdeb-49e5-a9ca-43d38ab55794,Epi
a75a067d-7b70-4f68-ada5-eb9173eb0552,Epi
290af98b-a8e8-4606-892b-2caaa8243cf3,Epi
cd3e8f22-a511-47a3-8924-cc1e026e3718,Epi
550e54e4-256c-4977-8ac4-0be8f17907da,Epi
5d747aa6-0809-404e-bf80-6a4a82608f12,Epi
3699851c-ed33-4d12-bf94-eb10ccbeb2d4,Epi
983c3687-083c-4606-9224-b74c0e6406fd,Epi
1663ac30-0008-4026-bcfa-2dffa92db874,Epi
ed45a741-7fb6-4d5b-b7af-1cd2362a15cc,Epi
ad22a799-87af-41a9-9bc2-97fa1970d300,Epi
315442a5-1a25-4287-9680-e43a8622ed15,Epi
1e8f6384-1648-438e-a555-cbd8d42505ea,Epi
32012a05-0a43-456e-9fe2-dacba55db034,Epi
e621626d-2fbf-40b7-833b-e57f2f71b7de,Epi
6b2a8fdd-8fa4-45ce-aad7-c6cff65b27c4,Epi
a6b82c4a-c4a9-4312-b9a1-6f5d565eb0fc,Epi
fb3456f3-b6d7-4a5d-92c0-0abd836242aa,Epi
f34cc226-0761-4cbd-aaec-be45cd4066bb,Epi
4718fefe-4495-43b0-a5e7-0626f6ab336e,Epi
6602313b-07c8-4a8a-81b3-aa77354e8460,Epi
96442da6-3423-4a3d-8705-c5c9c8b9571e,Epi
6132a628-8d8e-447f-85fa-0a9273443dad,Epi
3ad9cde8-93f8-450e-9cd7-a94488e2268f,Epi
19baf6b0-2a3c-441d-b9c2-c521c443a6cd,Epi
121a77c6-e016-4b4f-b54b-84d673c002b6,Epi
c2bfd76b-7cd9-403d-914a-f78c34242c5e,Epi
4ad7bb7f-c680-49f4-a288-be11e08c425a,Epi
0d786c96-8c98-41ba-a4d6-117b5266a379,Epi
91aea1ca-79ea-4b5a-8d02-763e4ac594eb,Epi
f839be2c-a9ad-4f00-8af7-eec44ab69be8,Epi
a4552367-a220-4724-93e0-a475c0b55320,Epi
00999aa9-62d7-4d6c-81b5-8722aeb1a13f,Epi
a4fc25b4-8d8f-46bb-90c4-217aaf49ea9a,Epi
f4b51d0e-4f21-453c-a869-6e96fb5d37c3,Epi
8327d0ce-42c3-4b82-abee-d0092f323b38,Epi
71d5b236-4e96-430f-8de9-35693f6bbd46,Epi
2653a86f-3917-4738-ba2a-6cf59268080c,Epi
b7080e24-f3d8-4335-91bf-daf5daf1ff1e,Epi
cd2d7e8b-e431-4ee5-9e4a-0663a785dde0,Epi
27660e67-b727-4e4e-b6bb-1678236f1b22,Epi
f51d544d-da39-4ec5-bb43-74d9354b021d,Epi
e36b81d4-27c0-45bc-9ca6-f54361c15b8e,Epi
00a93164-b3a8-4cbc-8ddb-88b15431e589,Epi
8c8e9a59-108d-40ae-9381-c5586764e61c,Epi
e3c832e6-44a7-4ed1-8064-f2e1071ae785,Epi
424cc71b-f239-4bef-9553-825614cc027f,Epi
37b025d1-ddbd-40df-85aa-0ad63e912006,Epi
e94501cb-9d8d-4374-a9ad-1f627b43f162,Epi
b5c77f1b-b11d-4486-8574-fcd5eeed9478,Epi
5651541f-c104-41a3-830e-f294eeb09459,Epi
ea000c48-eb6b-4232-9219-01c0094b66eb,Epi
bba8b5b1-5d0d-406b-b15c-e9079f91a0ab,Epi
ffb84ed6-11f0-4be5-bb59-bf67c4f43620,Epi
dbc71717-f134-4ee5-952c-baa45b512f05,Epi
9052de14-9a8b-404d-8d53-c71be457af33,Epi
23d4827d-f543-4a56-bf2d-33a0f51d0000,Epi
8070ce5e-2fea-45ec-bd2a-6ea4c0c255a8,Epi
111cb315-9e0b-4300-b553-f4e83d2c5b8a,Epi
fce35a67-3241-4c26-b4a2-d154cd06267d,Epi
ee64a1b8-01b8-4a9b-b62b-2c180b3948db,Epi
b99db572-57b4-47ce-b541-95fdcb18a00b,Epi
8d76c1f9-a167-462b-83a6-531f26010f1c,Epi
2a7a15a0-f9d8-418b-9530-b0e120eba05e,Epi
e6932f5a-f1a4-4e79-b826-85cc44b3fb47,Epi
c6575c93-d651-4c6f-85db-4e72c23a4ee3,Epi
1d0885bd-d4b8-4469-9b59-5719d82ca7a0,Epi
3b52430d-4368-4715-9146-a1ffb7e28297,Epi
ee7027fd-c20f-4797-9fe2-c04a4cd70d0f,Epi
49020a07-0eda-4dd1-9691-ee939b8fe50a,Epi
369f8821-d733-4091-9e64-f2b135c9cb69,Epi
7054ee90-8d49-48b5-b45f-e3bf2c788831,Epi
98e39797-23a6-4800-8246-579a007db26b,Epi
ed852ae1-2566-4d86-9120-5a5697bdd2a2,Epi
c98513f7-fc26-4b94-91f1-2f0fc8216616,Epi
496a9733-9978-476f-a299-58f4fef7b7f9,Epi
09397477-4d5a-4ea9-8620-98bf710f782b,Epi
b7af656d-ae57-4979-88bf-9dff9535ca42,Stroma
38ec297d-6db8-4770-8771-a059881e7351,Stroma
d3ebedfe-a7fa-4456-9412-43066f55c966,Stroma
59797917-0a05-4c10-98a8-9f15f53d31e2,Stroma
e3640e44-7266-4007-a0cc-4ee7de58b1c8,Endothelia
b25bb356-2641-423b-9d68-996309b53830,Stroma
a4b8518a-5a96-40d2-b7ae-3071c20bfa24,Stroma
398e6d06-9cde-4d4e-8c1a-f0a2b7dd0221,Stroma
0f1373aa-1077-41ae-a7ef-f60ea1647cdd,Stroma
94092b7a-6892-4c62-b15b-8661326ab01b,Epi
9ee4ee12-c2c0-44d3-9479-5206e3663ac0,Stroma
cfae5337-82b5-4c3c-8f97-0992e1faa911,Stroma
01e69f3e-7833-429a-bbba-4ba18f12eab4,Stroma
94f61238-cb23-443e-bff0-b1d609fe33cd,Endothelia
c7517346-c342-4d25-a89a-ffb7458c5845,Stroma
16577ebf-c06b-4a82-8250-6014d3e136e0,Stroma
0912fa08-394e-414c-9e0c-5f278bf34406,Stroma
07004ee3-5054-4be9-91db-a91b2d9f5f80,Stroma
87a52e43-8454-44ba-873a-3432c171aa06,Endothelia
9962f321-4e98-4d4f-8c69-f092a219535b,Stroma
421bb93e-8b73-4e8e-9797-3acb09f980a7,Stroma
9aeb985e-5911-481f-b8ba-d76a4bede933,Stroma
5e0a63ef-3f3a-4bea-ace7-65bb5f596d9a,Stroma
ad9688ec-0b8e-4b35-b6e9-42ae61ad487a,Stroma
f39ef283-fc01-4ac2-927c-f2f10f7b221a,Stroma
59b4a51e-5e4a-4bd5-8d2f-aa4ffa16c0e5,Stroma
07d39eb0-2875-4354-a11f-e4cb0bae5717,Stroma
ec86c22b-746e-4876-b79f-cd7b23024bf0,Stroma
291b339c-18d6-41c8-a3c0-a8aa584e7486,Stroma
ea51aea0-9389-43b4-921e-98418ac511a9,Stroma
5dd2ef07-9015-4c39-a8c5-53320998aa03,Stroma
813b04c7-12b5-4d85-a45e-37dd657b7eea,Stroma
b28d0675-ad4b-434a-9242-ed4ce0cefc4f,Stroma
be89e8bd-1e2a-43df-a3b3-b0d859096141,Stroma
1b83a8d7-4324-416d-93e5-4966e87ec12f,Stroma
7cc7b48d-b575-40c0-9b37-d9ad18b9db3c,Stroma
3bb8d1d1-bed5-4215-8ae7-c5cf9de29e6e,Stroma
1d059e2b-195d-4c33-b5c0-06f45955b82e,Stroma
d632dd4c-4a31-407e-82ed-90db9eaa34da,Stroma
9d2501f8-3a0e-4dd5-8dec-f5f3b1bd0faa,Stroma
65df6777-0984-4467-b809-30874194c278,Stroma
a29b4b73-7e1d-4789-a31a-a199d906b7fc,Stroma
0c19cb8d-63b5-4a67-b8e3-79cb5d0d7487,Stroma
74402f9a-dcef-4784-81bf-b31046e522e1,Stroma
cba5d4ce-abec-408d-a000-b41b397a5671,Stroma
d472bc70-2881-4193-88c5-3aeffb0d38a1,Stroma
f99f9a25-199d-47cf-8e33-5fdec419384b,Endothelia
3f410425-b5c5-42d7-b70b-bc6283bd0400,Stroma
e1227360-c5e6-47d9-8c45-15936c29ee7a,Stroma
a87c47e1-095b-4057-9cb5-2ffd6eaebce2,Stroma
c696b78c-2c30-43e7-92ea-3848842a4895,Stroma
0a27fc9a-3014-46e3-97f6-cdcfdf0a5199,Stroma
00430b1e-4362-4c7c-97de-cf9850a551ae,CD8_T
1087b21f-e090-40d8-b683-edfdf496f6d8,CD8_T
16996468-b638-4343-b9b6-35a85a4397d9,CD8_T
1c664f6c-4264-464a-84d2-f94c2026d937,CD8_T
247c1ed2-6b6d-4d80-8957-bb45e4df8fc0,Myeloid
2a13a2b6-0528-439a-9934-708eafd03974,CD8_T
3e013187-efa0-4af3-ab2f-268ccd0ba2f6,CD8_T
3e64ef9c-59c6-4103-9d48-5bd212d1a3df,CD8_T
41b8fcbb-79b1-494d-9619-aef528bc1a99,CD4_T
59423640-81ac-4472-80a7-7772c3347651,CD8_T
5db1e6b7-c36d-4e95-8f32-161e9041f392,CD8_T
7c63c0de-e022-43f7-8544-3bfaf138246b,CD8_T
a2c33c63-be46-43b3-8a7c-b933fa21975c,CD8_T
bf4fe6b2-5f22-4f1d-990a-84c063bcc388,CD8_T
cf9353d0-bd3c-485a-98d0-8ae5741051f8,CD8_T
d0a685d5-51bd-4c9a-ac18-56ee1d36e9c6,CD8_T
d3554870-14c3-42ff-bccc-ac08cf6a7325,CD8_T
e1fb0ca2-298d-47d4-8e61-6ce4dc943972,CD4_T
e63bbbcf-0278-4631-8b93-dafc05ca9e2f,CD8_T
fbda22d8-fe20-4049-a974-98e40a3c9392,CD8_T
fbeff64f-2dd4-455d-8256-08d2399ce7ff,CD8_T
ff1dada9-a727-4901-a55c-506664607191,CD8_T
3e5e2516-08b0-45c5-aeee-8316c244148b,Epi
51f5a194-1093-4736-8b19-56bde0983f15,Epi
dc9aa557-0ab2-4f53-8041-bb8811c162d6,Epi
67f7e7d7-4e73-4148-97db-71b7eefcd81b,Epi
b394b71b-79d7-4a4b-8982-6d16cdd32b2b,Epi
278c438c-b3c2-4601-9a94-f09e9c1ba5cd,Epi
ae7d422b-44a0-404c-a2db-6d0150ae7c33,Epi
5d628b16-a40a-4165-a145-ce875b715574,Epi
931c0ecd-d949-43ad-a44d-52659981baab,Epi
e053af9c-4c72-4541-81dd-68d368cffc20,Epi
288d94e7-e249-4001-83af-cfd15dd0c80f,Epi
27df22d2-1235-4403-bd81-afd76813ff9d,Epi
4347794c-d7d9-4902-804e-21ba1aed1e10,Epi
d10a9070-4292-4ae3-9e27-2f462986c054,Epi
612e9d81-69ff-4087-b8e0-a1ea92e918c4,Epi
8b6dd510-21d2-4f52-b510-ae8dc6397c04,Epi
de1cc3a3-cc3f-476e-97dc-be370e1ab112,Epi
be040390-340b-4560-8d87-9428cb283b4e,Epi
98c551f2-1a0d-458e-ace8-2229134c9b6c,Epi
3b7a5994-f809-4c52-b8e0-e4cefa20859f,Epi
114a5cf9-972d-4784-931c-c9e78e5cc323,Epi
8fab5168-fa17-49f9-b5d1-1562351adf1c,Epi
d81b56a1-13dd-48ca-a8ed-0d427159ae14,Epi
ad7319bf-b374-49f8-b219-bdacab80ddcf,Epi
c5fa2fb4-8654-41d1-bc72-206b6be9af47,Epi
102d1446-139c-410d-9a3c-c02ff7b80afd,Epi
33209ebe-db71-4e8c-9a09-b5db76003cfb,Epi
6ad916bd-1e7d-4ca6-90d6-398e4277928e,Epi
7062ff37-ffd4-4e9e-9767-b9663ebd6edb,Epi
ebf3db51-e10f-451e-8c90-6579724f9cbb,Epi
9544909f-3f64-4901-9e09-0f2899924a18,Epi
6f6b5be3-54e2-480e-bf4b-ec546186c52e,Epi
70c2d71f-5691-45f0-b9a4-f75124daae55,Epi
4cedaac6-afdb-4e80-a11a-13209f21eee0,Epi
1569bafa-deec-4cdc-b7dd-aa2ca9cc7826,Epi
8b09cdc8-0780-4d10-a5b2-37071eb4a276,Epi
ff72724a-a3d7-43ad-a715-612925e44299,Epi
e46469ca-9281-4c1a-9548-7762c1c83b64,Epi
561ec5dd-750c-4383-82ed-c76af5a752e8,Epi
6a29d553-6db6-4659-a4a3-ffc7ea989682,Epi
16154cee-4fc8-404d-bae4-5b5c3f77f025,Epi
8ddaf209-9931-4a1a-9ba1-f0466d2bae66,Epi
78a9321a-3137-4144-b6a5-6b2393f201e7,Epi
6d710bd7-afe4-4a9a-a74f-c9a99e59c2ba,Epi
ac4acd59-7a02-43b7-a20c-f85c266772bd,Epi
06199240-0d95-4601-a1db-c7b90d733064,Epi
02a6d16a-9b85-4a33-8983-6dc9b5a9bbc2,Epi
8bb2f45a-0d41-4a42-83c1-a86459f1d3f5,Epi
22e63390-03d4-483d-b9bc-4758940af9fa,Epi
868440ab-d330-4969-ad00-9c6dd562be1a,Epi
4b7da1cd-c038-4f78-925f-16265bb29cb7,Epi
e49526f5-eec3-42c5-9243-fc5b159c8937,Epi
98140b80-d84e-4f26-918f-500c6edfa203,Epi
828de404-c0f2-4829-8b37-699c808ff82c,Epi
1426bb46-6b81-4a8b-8e38-96a33a9715a7,Epi
b1975b60-c780-4b2a-bc9d-bea9071065f3,Epi
4a751d62-b1c0-42e4-9590-c6d607844bc3,Epi
d0f55107-058a-43ae-8376-b705aa372f4c,Epi
a47ee205-e94a-4f2f-b61e-044fa9abb913,Epi
17bfa593-59d0-497c-b94f-00d632ccfe94,Epi
784807c7-900f-4d4e-ae51-ac05690928d4,Epi
1b99806c-6b36-403b-9cf2-200517d30f4d,Epi
